i,u,v,a,o,e,ai,ei,ao,ou,an,en,ang,eng,er,ia,io,ie,iao,iu,ian,in,iang,ing,ua,uo,uai,ui,uan,un,uang,ong,ue,uan1,un1,iong
0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.8,0.1
0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1
0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.8
0.1,0.5,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1
0.1,0.5,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1
0.1,0.5,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1
0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1
0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.1,0.8,0.1,0.1
0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.1,0.1,0.8,0.1
0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.1,0.1,0.1,0.8
0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5
0.1,0.1,0.5,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,1,0.5,0.5,0.5
0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.5,0.5,1,0.5,0.5
0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.5,0.5,0.5,1,0.5
0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.5,0.5,0.5,0.5,1
